courier_id,courier_name,hub_id,vehicle_type
101,Dana Darwish,2,truck
102,Basel Aziz,3,van
103,Lina Fares,4,motorbike
104,Tariq Khoury,5,truck
105,Hala Sabbagh,6,van
106,Yousef Sultan,7,motorbike
107,Maya Nassar,8,truck
108,Rami Mansour,9,van
109,Rana Barakat,10,motorbike
110,Karim Haddad,1,truck
111,Aya Darwish,2,van
112,Hadi Aziz,3,motorbike
113,Salma Fares,4,truck
114,Nabil Khoury,5,van
115,Nour Sabbagh,6,motorbike
116,Ziad Sultan,7,truck
117,Reem Nassar,8,van
118,Sami Mansour,9,motorbike
119,Farah Barakat,10,truck
120,Omar Haddad,1,van
121,Dana Darwish,2,motorbike
122,Basel Aziz,3,truck
123,Lina Fares,4,van
124,Tariq Khoury,5,motorbike
125,Hala Sabbagh,6,truck
126,Yousef Sultan,7,van
127,Maya Nassar,8,motorbike
128,Rami Mansour,9,truck
129,Rana Barakat,10,van
130,Karim Haddad,1,motorbike
131,Aya Darwish,2,truck
132,Hadi Aziz,3,van
133,Salma Fares,4,motorbike
134,Nabil Khoury,5,truck
135,Nour Sabbagh,6,van
136,Ziad Sultan,7,motorbike
137,Reem Nassar,8,truck
138,Sami Mansour,9,van
139,Farah Barakat,10,motorbike
140,Omar Haddad,1,truck
